Id producto; Ref. producto; Nombre; Descripcion corta; Precio de venta; CategorÃ­as (nombre1,nombre2,etc); Meta Titulo; Meta DescripciÃ³n; Meta Palabras clave; Etiquetas (tag1,tag2,etc); Accesorios; URL de las imÃ¡genes; Cantidad; Activo
10;ClaseA_MATE_TV;Tarjeta de visita;"<p><span style=""color: #888888;"">Formato:</span> De 5,5x5,5 a 8,5x5,5 cm.</p>
<p><span style=""color: #888888;"">Papel:</span> Estucado mate <a class=""tooltip""><img src=""http://www.originarte.com/images/icons/info-descripcion.png"" alt=""Más info"" /><span>Papel CreatorSilk. Estucado multicapa semimate dos caras. Pasta química. Tiene una excelente blancura, elevado brillo de tintas y un tacto sedoso, lo que da un extraordinario resultado final.</span></a></p>
<p><span style=""color: #888888;"">Gramaje:</span> 350grs.</p>
<p><span style=""color: #888888;"">Tintas:</span> 4+4 (todo color dos caras)</p>
<p><span style=""color: #888888;"">Acabado:</span> Plastificado Mate 1 cara <a class=""tooltip""><img src=""http://www.originarte.com/images/icons/info-descripcion.png"" alt=""Más info"" /><span>Capa de polipropileno sobre la pieza ya impresa que protege el papel y la impresión. El plastificado mate da un acabado cálido aterciopelado, ideal para tarjetas de visita, postales, invitaciones y todo elemento que requiera un acabado de calidad.</span></a></p>
<p><span style=""color: #888888;"">Manipulado:</span> Corte</p>";75;Clase A - Plastificado Mate una cara;;;;;,;http://www.originarte.com/imprenta/10-216/tarjeta-de-visita.jpg,http://www.originarte.com/imprenta/10-408/tarjeta-de-visita.jpg,http://www.originarte.com/imprenta/10-215/tarjeta-de-visita.jpg;14967;1
11;ClaseA_MATE_TV_Dip;Tarjeta de visita en Díptico;"<p><span style=""color: #888888;"">Formato Abierto:</span> De 11x5,5 a 17,5x5,5 cm</p>
<p><span style=""color: #888888;"">Formato Cerrado:</span> De 5,5x5,5 8,5x5,5 cm</p>
<p><span style=""color: #888888;"">Papel:</span> Estucado mate <a class=""tooltip""><img src=""http://www.originarte.com/images/icons/info-descripcion.png"" alt=""Más info"" /><span>Papel CreatorSilk. Estucado multicapa semimate dos caras. Pasta química. Tiene una excelente blancura, elevado brillo de tintas y un tacto sedoso, lo que da un extraordinario resultado final.</span></a></p>
<p><span style=""color: #888888;"">Gramaje:</span> 350grs.</p>
<p><span style=""color: #888888;"">Tintas:</span> 4+4 (todo color dos caras)</p>
<p><span style=""color: #888888;"">Acabado:</span> Plastificado Mate 1 cara <a class=""tooltip""><img src=""http://www.originarte.com/images/icons/info-descripcion.png"" alt=""Más info"" /><span>Capa de polipropileno sobre la pieza ya impresa que protege el papel y la impresión. El plastificado mate da un acabado cálido aterciopelado, ideal para tarjetas de visita, postales, invitaciones y todo elemento que requiera un acabado de calidad.</span></a></p>
<p><span style=""color: #888888;"">Manipulado:</span> un hendido (dípticos)</p>";109;Clase A - Plastificado Mate una cara;;;;;,;http://www.originarte.com/imprenta/11-268/tarjeta-de-visita-en-diptico.jpg,http://www.originarte.com/imprenta/11-269/tarjeta-de-visita-en-diptico.jpg,http://www.originarte.com/imprenta/11-270/tarjeta-de-visita-en-diptico.jpg;7497;1
12;2+2t_Estucado_TV;2+2t. Papel Estucado;"<p>Formato: De 5,5x5,5 a 8,5x5,5 cm.</p>
<p><span style=""color: #888888;"">Papel:</span> Estucado mate <a class=""tooltip""><img src=""http://www.originarte.com/images/icons/info-descripcion.png"" alt=""Más info"" /><span>Papel CreatorSilk. Estucado multicapa semimate dos caras. Pasta química. Tiene una excelente blancura, elevado brillo de tintas y un tacto sedoso, lo que da un extraordinario resultado final.</span></a></p>
<p>Gramaje: 350grs.</p>
<p>Tintas: 2+2 (Pantone)</p>
<p>Manipulado: Corte</p>
<p>Descripción: Con esta opción es posible imprimir de 1 a 8 modelos</p>";150;Impresión en tintas directas,Impresión Tintas Directas;;;;;,;http://www.originarte.com/imprenta/12-199/tarjeta-de-visita-tintas-directas.jpg,http://www.originarte.com/imprenta/12-308/tarjeta-de-visita-tintas-directas.jpg,http://www.originarte.com/imprenta/12-198/tarjeta-de-visita-tintas-directas.jpg;7499;1
13;2+2_Estucado_PPMate2c;2+2t. con Plastificado;"<p><span style=""color: #888888;"">Formato:</span> De 5,5x5,5 a 8,5x5,5 cm.</p>
<p><span style=""color: #888888;"">Papel:</span> Estucado mate <a class=""tooltip""><img src=""http://www.originarte.com/images/icons/info-descripcion.png"" alt=""Más info"" /><span>Papel CreatorSilk. Estucado multicapa semimate dos caras. Pasta química. Tiene una excelente blancura, elevado brillo de tintas y un tacto sedoso, lo que da un extraordinario resultado final.</span></a></p>
<p><span style=""color: #888888;"">Gramaje:</span> 350grs.</p>
<p><span style=""color: #888888;"">Tintas:</span> 2+2 (Pantone)</p>
<p><span style=""color: #888888;"">Acabado:</span> Plastificado Mate<a class=""tooltip""><img src=""http://www.originarte.com/images/icons/info-descripcion.png"" alt=""Más info"" /><span>Capa de polipropileno sobre la pieza ya impresa que protege el papel y la impresión. El plastificado mate da un acabado cálido aterciopelado, ideal para tarjetas de visita, postales, invitaciones y todo elemento que requiera un acabado de calidad.</span></a></p>
<p><span style=""color: #888888;"">Manipulado:</span> Corte</p>
<p><span style=""color: #888888;"">Descripción:</span> Con esta opción es posible imprimir de 1 a 8 modelos</p>";260;Acabados especiales,Acabados especiales;;;;;,;http://www.originarte.com/imprenta/13-53/tarjeta-de-visita-2-2.jpg,http://www.originarte.com/imprenta/13-307/tarjeta-de-visita-2-2.jpg,http://www.originarte.com/imprenta/13-218/tarjeta-de-visita-2-2.jpg;7499;1
14;;Tarjetas de visita x 2;"<p><span class=""claro"" style=""color: #888888;"">Formato: De 5,5x5,5 a </span>8,5x5,5 cm.</p>
<p><span style=""color: #888888;"">Papel:</span> Estucado mate <a class=""tooltip""><img src=""http://www.originarte.com/images/icons/info-descripcion.png"" alt=""Más info"" /><span>Papel CreatorSilk. Estucado multicapa semimate dos caras. Pasta química. Tiene una excelente blancura, elevado brillo de tintas y un tacto sedoso, lo que da un extraordinario resultado final.</span></a></p>
<p><span style=""color: #888888;"">Gramaje:</span> 350grs.</p>
<p><span style=""color: #888888;"">Tintas:</span> 4+4 (todo color dos caras)</p>
<p><span style=""color: #888888;"">Acabado:</span> Plastificado Mate 1 cara <a class=""tooltip""><img src=""http://www.originarte.com/images/icons/info-descripcion.png"" alt=""Más info"" /><span>Capa de polipropileno sobre la pieza ya impresa que protege el papel y la impresión. El plastificado mate da un acabado cálido aterciopelado, ideal para tarjetas de visita, postales, invitaciones y todo elemento que requiera un acabado de calidad.</span></a></p>
<p><span class=""claro"" style=""color: #888888;"">Manipulado:</span> Corte</p>
<p><span class=""claro"" style=""color: #888888;"">Descripción:</span> El precio incluye 600u. de cada modelo en la opción 1 (600x2) y 1250 unidades de cada modelo en la opción 2 (1250x2)</p>";130;Clase A - Plastificado Mate una cara;;;;;,;http://www.originarte.com/imprenta/14-202/tarjetas-de-visita-x-2.jpg,http://www.originarte.com/imprenta/14-219/tarjetas-de-visita-x-2.jpg;99996;1
15;;Tarjetas de visita x 3;"<p><span class=""claro"" style=""color: #888888;"">Formato: De 5,5x5,5 a </span>8,5x5,5 cm.</p>
<p><span style=""color: #888888;"">Papel:</span> Estucado mate <a class=""tooltip""><img src=""http://www.originarte.com/images/icons/info-descripcion.png"" alt=""Más info"" /><span>Papel CreatorSilk. Estucado multicapa semimate dos caras. Pasta química. Tiene una excelente blancura, elevado brillo de tintas y un tacto sedoso, lo que da un extraordinario resultado final.</span></a></p>
<p><span style=""color: #888888;"">Gramaje:</span> 350grs.</p>
<p><span style=""color: #888888;"">Tintas:</span> 4+4 (todo color dos caras)</p>
<p><span style=""color: #888888;"">Acabado:</span> Plastificado Mate 1 cara <a class=""tooltip""><img src=""http://www.originarte.com/images/icons/info-descripcion.png"" alt=""Más info"" /><span>Capa de polipropileno sobre la pieza ya impresa que protege el papel y la impresión. El plastificado mate da un acabado cálido aterciopelado, ideal para tarjetas de visita, postales, invitaciones y todo elemento que requiera un acabado de calidad.</span></a></p>
<p><span class=""claro"" style=""color: #888888;"">Manipulado:</span> Corte</p>
<p><span class=""claro"" style=""color: #888888;"">Descripción:</span> El precio incluye 600u. de cada modelo en la opción 1 (600x3) y 1250 unidades de cada modelo en la opción 2 (1250x3)</p>";185;Clase A - Plastificado Mate una cara;;;;;,;http://www.originarte.com/imprenta/15-205/tarjetas-de-visita-x-3.jpg,http://www.originarte.com/imprenta/15-220/tarjetas-de-visita-x-3.jpg;99998;1
16;;Tarjetas de visita x 4;"<p><span class=""claro"" style=""color: #888888;"">Formato: De 5,5x5,5 a </span>8,5x5,5 cm.</p>
<p><span style=""color: #888888;"">Papel:</span> Estucado mate <a class=""tooltip""><img src=""http://www.originarte.com/images/icons/info-descripcion.png"" alt=""Más info"" /><span>Papel CreatorSilk. Estucado multicapa semimate dos caras. Pasta química. Tiene una excelente blancura, elevado brillo de tintas y un tacto sedoso, lo que da un extraordinario resultado final.</span></a></p>
<p><span style=""color: #888888;"">Gramaje:</span> 350grs.</p>
<p><span style=""color: #888888;"">Tintas:</span> 4+4 (todo color dos caras)</p>
<p><span style=""color: #888888;"">Acabado:</span> Plastificado Mate 1 cara <a class=""tooltip""><img src=""http://www.originarte.com/images/icons/info-descripcion.png"" alt=""Más info"" /><span>Capa de polipropileno sobre la pieza ya impresa que protege el papel y la impresión. El plastificado mate da un acabado cálido aterciopelado, ideal para tarjetas de visita, postales, invitaciones y todo elemento que requiera un acabado de calidad.</span></a></p>
<p><span class=""claro"" style=""color: #888888;"">Manipulado:</span> Corte</p>
<p><span class=""claro"" style=""color: #888888;"">Descripción:</span> El precio incluye 600u. de cada modelo en la opción 1 (600x4) y 1250 unidades de cada modelo en la opción 2 (1250x4)</p>";240;Clase A - Plastificado Mate una cara;;;;;,;http://www.originarte.com/imprenta/16-206/tarjetas-de-visita-x-4.jpg,http://www.originarte.com/imprenta/16-221/tarjetas-de-visita-x-4.jpg;99999;1
17;;Tarjetas de visita x 5;"<p><span class=""claro"" style=""color: #888888;"">Formato: De 5,5x5,5 a </span>8,5x5,5 cm.</p>
<p><span style=""color: #888888;"">Papel:</span> Estucado mate <a class=""tooltip""><img src=""http://www.originarte.com/images/icons/info-descripcion.png"" alt=""Más info"" /><span>Papel CreatorSilk. Estucado multicapa semimate dos caras. Pasta química. Tiene una excelente blancura, elevado brillo de tintas y un tacto sedoso, lo que da un extraordinario resultado final.</span></a></p>
<p><span style=""color: #888888;"">Gramaje:</span> 350grs.</p>
<p><span style=""color: #888888;"">Tintas:</span> 4+4 (todo color dos caras)</p>
<p><span style=""color: #888888;"">Acabado:</span> Plastificado Mate 1 cara <a class=""tooltip""><img src=""http://www.originarte.com/images/icons/info-descripcion.png"" alt=""Más info"" /><span>Capa de polipropileno sobre la pieza ya impresa que protege el papel y la impresión. El plastificado mate da un acabado cálido aterciopelado, ideal para tarjetas de visita, postales, invitaciones y todo elemento que requiera un acabado de calidad.</span></a></p>
<p><span class=""claro"" style=""color: #888888;"">Manipulado:</span> Corte</p>
<p><span class=""claro"" style=""color: #888888;"">Descripción:</span> El precio incluye 600u. de cada modelo en la opción 1 (600x5) y 1250 unidades de cada modelo en la opción 2 (1250x5)</p>";275;Clase A - Plastificado Mate una cara;;;;;,;http://www.originarte.com/imprenta/17-209/tarjetas-de-visita-x-5.jpg,http://www.originarte.com/imprenta/17-222/tarjetas-de-visita-x-5.jpg;100000;1
19;150_brillo_P_XL;Folleto Flyer XL / Postal XL;"<p><span class=""claro"" style=""color: #888888;"">Formato: </span>10 x 15 cm. | A6</p>
<p><span style=""color: #888888;"">Papel:</span> Estucado Brillo <a class=""tooltip""><img src=""http://www.originarte.com/images/icons/info-descripcion.png"" alt=""Más info"" /><span>Papel CreatorStar. Estucado multicapa brillante dos caras. Pasta química. Tiene una excelente blancura, elevado brillo de tintas y muy buen brillo de papel, lo que le da muy buen resultado final.</span></a></p>
<p><span class=""claro"" style=""color: #888888;"">Gramaje:</span> 150 gr.</p>
<p><span class=""claro"" style=""color: #888888;"">Tintas:</span> 4+4 (todo color 2 caras)</p>
<p><span class=""claro"" style=""color: #888888;"">Manipulado:</span> Corte</p>";70;Papel est. 150 grs.- Todo color 2c;;;;;,,Muestras;http://www.originarte.com/imprenta/19-213/folleto-flyer-xl-postal-xl.jpg,http://www.originarte.com/imprenta/19-214/folleto-flyer-xl-postal-xl.jpg,http://www.originarte.com/imprenta/19-212/folleto-flyer-xl-postal-xl.jpg;24986;1
20;150_brillo_P;Folleto Flyer Postal;"<p><span class=""claro"" style=""color: #888888;"">Formato: </span>10 x 13,5 cm.</p>
<p><span style=""color: #888888;"">Papel:</span> Estucado Brillo <a class=""tooltip""><img src=""http://www.originarte.com/images/icons/info-descripcion.png"" alt=""Más info"" /><span>Papel CreatorStar. Estucado multicapa brillante dos caras. Pasta química. Tiene una excelente blancura, elevado brillo de tintas y muy buen brillo de papel, lo que le da muy buen resultado final.</span></a></p>
<p><span class=""claro"" style=""color: #888888;"">Gramaje:</span> 150 gr.</p>
<p><span class=""claro"" style=""color: #888888;"">Tintas:</span> 4+4 (todo color 2 caras)</p>
<p><span class=""claro"" style=""color: #888888;"">Manipulado:</span><span style=""font-size: 13px;""> Corte</span></p>";63;Papel est. 150 grs.- Todo color 2c;;;;;,,Muestras;http://www.originarte.com/imprenta/20-211/folleto-flyer-postal.jpg,http://www.originarte.com/imprenta/20-386/folleto-flyer-postal.jpg,http://www.originarte.com/imprenta/20-223/folleto-flyer-postal.jpg;24992;1
